TagID,TimeStamp,X,Y,Z,CovXX,CovYY,CovZZ
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
,NaT,0,0,0,0,0,0
